Time (s) Run #1,"x-Position, Object #1 (m) Run #1","y-Position, Object #1 (m) Run #1","x-Velocity, Object #1 (m/s) Run #1","y-Velocity, Object #1 (m/s) Run #1","x-Acceleration, Object #1 (m/s²) Run #1","y-Acceleration, Object #1 (m/s²) Run #1"
0.503,26.92,9.33,,,,
0.537,26.8,9.37,-3.67,1.29,,
0.57,26.67,9.42,-3.88,1.29,0,1.85E-04
0.603,26.54,9.46,-3.67,1.29,6.47,-2.44E-04
0.637,26.43,9.5,-3.45,1.29,3.23,-4.29E-04
0.67,26.31,9.55,-3.45,1.29,-3.24,2.66E-14
0.703,26.2,9.59,-3.67,1.29,-6.47,4.58E-04
0.737,26.07,9.63,-3.88,1.29,0,2.44E-04
0.77,25.94,9.68,-3.67,1.29,3.24,-2.44E-04
0.803,25.82,9.72,-3.67,1.29,-3.23,-2.44E-04
0.837,25.69,9.76,-3.88,1.29,-3.24,3.33E-14
0.87,25.57,9.81,-3.88,1.29,4.29E-04,0
0.903,25.44,9.85,-3.88,1.29,3.24,2.44E-04
0.937,25.31,9.89,-3.67,1.29,3.23,2.44E-04
0.97,25.19,9.94,-3.67,1.29,-3.24,-2.73E-04
1.003,25.06,9.98,-3.88,1.29,-3.23,-4.29E-04
1.037,24.93,10.02,-3.88,1.29,3.24,5.82E-05
1.07,24.8,10.07,-3.67,1.29,6.47,4.00E-04
1.103,24.69,10.11,-3.45,1.29,3.24,1.85E-04
1.137,24.57,10.15,-3.45,1.29,0,-2.15E-04
1.17,24.46,10.19,-3.45,1.29,0,-4.29E-04
1.203,24.34,10.24,-3.45,1.29,0,2.91E-05
1.237,24.23,10.28,-3.45,1.29,0,4.58E-04
1.27,24.11,10.32,-3.45,1.29,-3.52E-04,1.85E-04
1.303,24,10.37,-3.45,1.29,0,-2.44E-04
1.337,23.88,10.41,-3.45,1.29,0,-2.15E-04
1.37,23.77,10.45,-3.45,1.29,0,6.66E-14
1.403,23.65,10.5,-3.45,1.29,0,2.91E-05
1.437,23.54,10.54,-3.45,1.29,0,2.44E-04
1.47,23.42,10.58,-3.45,1.29,-3.52E-04,1.85E-04
1.503,23.31,10.63,-3.45,1.29,0,-2.44E-04
1.537,23.19,10.67,-3.45,1.29,0,-4.29E-04
1.57,23.08,10.71,-3.45,1.29,0,6.66E-14
1.603,22.96,10.76,-3.45,1.29,0,4.58E-04
1.637,22.85,10.8,-3.45,1.29,-3.23,2.44E-04
1.67,22.73,10.84,-3.67,1.29,-3.24,-2.44E-04
1.703,22.6,10.88,-3.67,1.29,3.23,-2.44E-04
1.737,22.49,10.93,-3.45,1.29,3.24,-6.66E-14
1.77,22.37,10.97,-3.45,1.29,0,0
1.803,22.26,11.01,-3.45,1.29,-9.36E-04,2.44E-04
1.837,22.14,11.06,-3.45,1.29,6.47,-3.24
1.87,22.03,11.1,-3.02,1.08,9.7,-6.47
1.903,21.94,11.13,-2.8,0.86,0,-3.24
1.937,21.84,11.16,-3.02,0.86,-3.24,4.29E-04
1.97,21.74,11.19,-3.02,0.86,0,1.94E-05
2.003,21.64,11.22,-3.02,0.86,0,-4.29E-04
2.037,21.54,11.24,-3.02,0.86,-3.23,-2.34E-04
2.07,21.44,11.27,-3.24,0.86,-3.24,2.15E-04
2.103,21.32,11.3,-3.24,0.86,3.24,4.49E-04
2.137,21.22,11.33,-3.02,0.86,0.85,0.68
2.17,21.12,11.36,-3.18,0.91,-6.1,0.72
2.2,21.02,11.39,-3.41,0.91,-4.3,-0.72
